teamId,teamName,problemStatementId,theme
TID_5829,Quantum Innovators,25018,MedTech / BioTech / HealthTech
TID_8314,Logic Ninjas,25063,Disaster Management
TID_1947,Future Wizards,25041,MedTech / BioTech / HealthTech
TID_6281,Data Crusaders,25023,MedTech / BioTech / HealthTech
TID_9015,Pixel Hackers,25073,Fitness & Sports
TID_3378,Cyber Pioneers,25004,Agriculture, FoodTech & Rural Development
TID_4821,Global Dreamers,25053,Agriculture, FoodTech & Rural Development
TID_7759,Nano Solutions,25011,Smart Education
TID_2093,Code Dynamics,25064,Renewable / Sustainable Energy
TID_5160,United Synergy,25035,Smart Education
TID_8842,Quantum Ninjas,25020,Smart Automation
TID_1234,Logic Hackers,25083,MedTech / BioTech / HealthTech
TID_9573,Future Innovators,25049,MedTech / BioTech / HealthTech
TID_6428,Data Pioneers,25071,Disaster Management
TID_2819,Pixel Dreamers,25015,Agriculture, FoodTech & Rural Development
TID_7301,Cyber Crusaders,25060,Clean & Green Technology
TID_4055,Global Solutions,25008,Disaster Management
TID_1687,Nano Dynamics,25038,Smart Education
TID_8110,Code Synergy,25028,Smart Education
TID_5396,United Wizards,25055,Miscellaneous
TID_3724,Quantum Hackers,25081,Smart Automation
TID_6079,Logic Innovators,25025,MedTech / BioTech / HealthTech
TID_2502,Future Pioneers,25046,Smart Automation
TID_9861,Data Dreamers,25076,Agriculture, FoodTech & Rural Development
TID_4435,Pixel Crusaders,25001,MedTech / BioTech / HealthTech
TID_1198,Cyber Solutions,25066,Smart Automation
TID_7654,Global Dynamics,25031,Agriculture, FoodTech & Rural Development
TID_3982,Nano Synergy,25058,Miscellaneous
TID_8520,Code Wizards,25013,Transportation & Logistics
TID_5708,United Ninjas,25079,Disaster Management
TID_1043,Quantum Innovators,25034,Agriculture, FoodTech & Rural Development
TID_6891,Logic Pioneers,25002,Travel & Tourism
TID_3276,Future Dreamers,25069,Miscellaneous
TID_9157,Data Crusaders,25022,Transportation & Logistics
TID_4780,Pixel Solutions,25045,Smart Automation
TID_2313,Cyber Dynamics,25080,Smart Automation
TID_7066,Global Synergy,25010,Agriculture, FoodTech & Rural Development
TID_5549,Nano Wizards,25037,Smart Education
TID_8632,Code Ninjas,25059,Miscellaneous
TID_1475,United Hackers,25019,Smart Education
TID_9321,Quantum Pioneers,25062,Agriculture, FoodTech & Rural Development
TID_3607,Logic Dreamers,25005,Agriculture, FoodTech & Rural Development
TID_6950,Future Crusaders,25029,Smart Education
TID_2188,Data Solutions,25052,Heritage & Culture
TID_7412,Pixel Dynamics,25077,Smart Automation
TID_4264,Cyber Synergy,25016,Smart Education
TID_1839,Global Wizards,25042,MedTech / BioTech / HealthTech
TID_8003,Nano Ninjas,25067,Miscellaneous
TID_5227,Code Hackers,25032,Agriculture, FoodTech & Rural Development
TID_3516,United Innovators,25003,Transportation & Logistics
TID_9785,Quantum Dreamers,25050,Transportation & Logistics
TID_6641,Logic Crusaders,25074,Agriculture, FoodTech & Rural Development
TID_2930,Future Solutions,25012,Smart Education
TID_7894,Data Dynamics,25039,Smart Education
TID_4577,Pixel Synergy,25065,Smart Automation
TID_1352,Cyber Wizards,25026,MedTech / BioTech / HealthTech
TID_8769,Global Ninjas,25048,Robotics and Drones
TID_5918,Nano Hackers,25006,Agriculture, FoodTech & Rural Development
TID_3143,Code Innovators,25070,Miscellaneous
TID_9406,United Pioneers,25033,Agriculture, FoodTech & Rural Development
TID_6370,Quantum Crusaders,25056,Miscellaneous
TID_2659,Logic Solutions,25017,Smart Education
TID_7233,Future Dynamics,25043,MedTech / BioTech / HealthTech
TID_4986,Data Synergy,25068,Miscellaneous
TID_1504,Pixel Wizards,25009,Smart Education
TID_8251,Cyber Ninjas,25036,Smart Education
TID_5675,Global Hackers,25057,Miscellaneous
TID_3899,Nano Innovators,25021,Transportation & Logistics
TID_9214,Code Pioneers,25047,Robotics and Drones
TID_6125,United Dreamers,25072,Renewable / Sustainable Energy
TID_2467,Quantum Solutions,25014,Clean & Green Technology
