teamId,teamName,problemStatementId,theme
5829,Quantum Innovators,25018,MedTech / BioTech / HealthTech
5829,Quantum Innovators,25063,Disaster Management
8314,Logic Ninjas,25063,Disaster Management
8314,Logic Ninjas,25041,MedTech / BioTech / HealthTech
1947,Future Wizards,25041,MedTech / BioTech / HealthTech
1947,Future Wizards,25023,MedTech / BioTech / HealthTech
6281,Data Crusaders,25023,MedTech / BioTech / HealthTech
6281,Data Crusaders,25073,Fitness & Sports
9015,Pixel Hackers,25073,Fitness & Sports
9015,Pixel Hackers,25004,Agriculture, FoodTech & Rural Development
3378,Cyber Pioneers,25004,Agriculture, FoodTech & Rural Development
3378,Cyber Pioneers,25053,Agriculture, FoodTech & Rural Development
4821,Global Dreamers,25053,Agriculture, FoodTech & Rural Development
4821,Global Dreamers,25011,Smart Education
7759,Nano Solutions,25011,Smart Education
7759,Nano Solutions,25064,Renewable / Sustainable Energy
2093,Code Dynamics,25064,Renewable / Sustainable Energy
2093,Code Dynamics,25035,Smart Education
5160,United Synergy,25035,Smart Education
5160,United Synergy,25020,Smart Automation
8842,Quantum Ninjas,25020,Smart Automation
8842,Quantum Ninjas,25083,MedTech / BioTech / HealthTech
1234,Logic Hackers,25083,MedTech / BioTech / HealthTech
1234,Logic Hackers,25049,MedTech / BioTech / HealthTech
9573,Future Innovators,25049,MedTech / BioTech / HealthTech
9573,Future Innovators,25071,Disaster Management
6428,Data Pioneers,25071,Disaster Management
6428,Data Pioneers,25015,Agriculture, FoodTech & Rural Development
2819,Pixel Dreamers,25015,Agriculture, FoodTech & Rural Development
2819,Pixel Dreamers,25060,Clean & Green Technology
7301,Cyber Crusaders,25060,Clean & Green Technology
7301,Cyber Crusaders,25008,Disaster Management
4055,Global Solutions,25008,Disaster Management
4055,Global Solutions,25038,Smart Education
1687,Nano Dynamics,25038,Smart Education
1687,Nano Dynamics,25028,Smart Education
8110,Code Synergy,25028,Smart Education
8110,Code Synergy,25055,Miscellaneous
5396,United Wizards,25055,Miscellaneous
5396,United Wizards,25081,Smart Automation
3724,Quantum Hackers,25081,Smart Automation
3724,Quantum Hackers,25025,MedTech / BioTech / HealthTech
6079,Logic Innovators,25025,MedTech / BioTech / HealthTech
6079,Logic Innovators,25046,Smart Automation
2502,Future Pioneers,25046,Smart Automation
2502,Future Pioneers,25076,Agriculture, FoodTech & Rural Development
9861,Data Dreamers,25076,Agriculture, FoodTech & Rural Development
9861,Data Dreamers,25001,MedTech / BioTech / HealthTech
4435,Pixel Crusaders,25001,MedTech / BioTech / HealthTech
4435,Pixel Crusaders,25066,Smart Automation
1198,Cyber Solutions,25066,Smart Automation
1198,Cyber Solutions,25031,Agriculture, FoodTech & Rural Development
7654,Global Dynamics,25031,Agriculture, FoodTech & Rural Development
7654,Global Dynamics,25058,Miscellaneous
3982,Nano Synergy,25058,Miscellaneous
3982,Nano Synergy,25013,Transportation & Logistics
8520,Code Wizards,25013,Transportation & Logistics
8520,Code Wizards,25079,Disaster Management
5708,United Ninjas,25079,Disaster Management
5708,United Ninjas,25034,Agriculture, FoodTech & Rural Development
1043,Quantum Innovators,25034,Agriculture, FoodTech & Rural Development
1043,Quantum Innovators,25002,Travel & Tourism
6891,Logic Pioneers,25002,Travel & Tourism
6891,Logic Pioneers,25069,Miscellaneous
3276,Future Dreamers,25069,Miscellaneous
3276,Future Dreamers,25022,Transportation & Logistics
9157,Data Crusaders,25022,Transportation & Logistics
9157,Data Crusaders,25045,Smart Automation
4780,Pixel Solutions,25045,Smart Automation
4780,Pixel Solutions,25080,Smart Automation
2313,Cyber Dynamics,25080,Smart Automation
2313,Cyber Dynamics,25010,Agriculture, FoodTech & Rural Development
7066,Global Synergy,25010,Agriculture, FoodTech & Rural Development
7066,Global Synergy,25037,Smart Education
5549,Nano Wizards,25037,Smart Education
5549,Nano Wizards,25059,Miscellaneous
8632,Code Ninjas,25059,Miscellaneous
8632,Code Ninjas,25019,Smart Education
1475,United Hackers,25019,Smart Education
1475,United Hackers,25062,Agriculture, FoodTech & Rural Development
9321,Quantum Pioneers,25062,Agriculture, FoodTech & Rural Development
9321,Quantum Pioneers,25005,Agriculture, FoodTech & Rural Development
3607,Logic Dreamers,25005,Agriculture, FoodTech & Rural Development
3607,Logic Dreamers,25029,Smart Education
6950,Future Crusaders,25029,Smart Education
6950,Future Crusaders,25052,Heritage & Culture
2188,Data Solutions,25052,Heritage & Culture
2188,Data Solutions,25077,Smart Automation
7412,Pixel Dynamics,25077,Smart Automation
7412,Pixel Dynamics,25016,Smart Education
4264,Cyber Synergy,25016,Smart Education
4264,Cyber Synergy,25042,MedTech / BioTech / HealthTech
