S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme
1,Ministry of Development of North Eastern Region,Smart Community Health Monitoring and Early Warning System for Water-Borne Diseases in Rural Northeast India,Software,SIH25001,0,MedTech / BioTech / HealthTech
2,Ministry of Development of North Eastern Region,"Smart Tourist Safety Monitoring & Incident Response System using Al, Geo-Fencing, and Blockchain-based Digital ID",Software,SIH25002,0,Travel & Tourism
3,Ministry of Development of North Eastern Region,Low-Cost smart transportation solution for Agri produce from remote farms to nearest motorable road in NER Region,Hardware,SIH25003,0,Transportation & Logistics
4,"Ministry of Fisheries, Animal Husbandry & Dairying",lmage based breed recognition for cattle and buffaloes of India,Software,SIH25004,0,"Agriculture, FoodTech & Rural Development"
5,"Ministry of Fisheries, Animal Husbandry & Dairying",lmage based Animal Type Classification for cattle and buffaloes,Software,SIH25005,0,"Agriculture, FoodTech & Rural Development"
6,"Ministry of Fisheries, Animal Husbandry & Dairying",Development of a Digital Farm Management Portal for lmplementing Biosecurity ileasures in Pig and Poultry Farms,Software,SIH25006,0,"Agriculture, FoodTech & Rural Development"
7,"Ministry of Fisheries, Animal Husbandry & Dairying",Development of a Digital Farm Management Portal for Monitoring aximum Residue Limits (MRL) and Antimicrobial Usage (AMU) in Livestock,Software,SIH25007,0,"Agriculture, FoodTech & Rural Development"
8,Government of Punjab,Disaster Preparedness and Response Education System for Schools and Colleges,Software,SIH25008,0,Disaster Management
9,Government of Punjab,Gamified Environmental Education Platform for Schools and Colleges,Software,SIH25009,0,Smart Education
10,Government of Punjab,Smart Crop Advisory System for Small and Marginal Farmers,Software,SIH25010,0,"Agriculture, FoodTech & Rural Development"
11,Government of Punjab,Smart Curriculum Activity & Attendance App,Software,SIH25011,0,Smart Education
12,Government of Punjab,Automated Attendance System for Rural Schools,Software,SIH25012,0,Smart Education
13,Government of Punjab,Real-Time Public Transport Tracking for Small Cities,Software,SIH25013,0,Transportation & Logistics
14,Government of Punjab,Waste Segregation Monitoring System for Urban Local Bodies,Hardware,SIH25014,0,Clean & Green Technology
15,Government of Punjab,Intelligent Pesticide Sprinkling System Determined by the Infection Level of a Plant,Hardware,SIH25015,0,"Agriculture, FoodTech & Rural Development"
