Problem Statement ID,Theme
25001,MedTech / BioTech / HealthTech
25002,Travel & Tourism
25003,Transportation & Logistics
25004,Agriculture, FoodTech & Rural Development
25005,Agriculture, FoodTech & Rural Development
25006,Agriculture, FoodTech & Rural Development
25007,Agriculture, FoodTech & Rural Development
25008,Disaster Management
25009,Smart Education
25010,Agriculture, FoodTech & Rural Development
25011,Smart Education
25012,Smart Education
25013,Transportation & Logistics
25014,Clean & Green Technology
25015,Agriculture, FoodTech & Rural Development
25016,Smart Education
25017,Smart Education
25018,MedTech / BioTech / HealthTech
25019,Smart Education
25020,Smart Automation
25021,Transportation & Logistics
25022,Transportation & Logistics
25023,MedTech / BioTech / HealthTech
25024,MedTech / BioTech / HealthTech
25025,MedTech / BioTech / HealthTech
25026,MedTech / BioTech / HealthTech
25027,Blockchain & Cybersecurity
25028,Smart Education
25029,Smart Education
25030,Agriculture, FoodTech & Rural Development
25031,Clean & Green Technology
25032,Travel & Tourism
25033,Smart Automation
25034,Smart Education
25035,Miscellaneous
25036,Miscellaneous
25037,Miscellaneous
25038,Clean & Green Technology
25039,Disaster Management
25040,Miscellaneous
25041,Renewable / Sustainable Energy
25042,Miscellaneous
25043,Smart Automation
25044,Agriculture, FoodTech & Rural Development
25045,Agriculture, FoodTech & Rural Development
25046,Clean & Green Technology
25047,Robotics and Drones
25048,Smart Education
25049,MedTech / BioTech / HealthTech
25050,Transportation & Logistics
25051,Renewable / Sustainable Energy
25052,Heritage & Culture
25053,Agriculture, FoodTech & Rural Development
25054,Smart Automation
25055,Miscellaneous
25056,Miscellaneous
25057,Miscellaneous
25058,Miscellaneous
25059,Miscellaneous
25060,Clean & Green Technology
25061,Travel & Tourism
25062,Agriculture, FoodTech & Rural Development
25063,Disaster Management
25064,Renewable / Sustainable Energy
25065,Smart Automation
25066,Smart Automation
25067,Miscellaneous
25068,Miscellaneous
25069,Miscellaneous
25070,Miscellaneous
25071,Disaster Management
25072,Renewable / Sustainable Energy
25073,Fitness & Sports
25074,Agriculture, FoodTech & Rural Development
25075,Agriculture, FoodTech & Rural Development
25076,Agriculture, FoodTech & Rural Development
25077,Smart Automation
25079,Disaster Management
25080,Smart Automation
25081,Smart Automation
25082,Travel & Tourism
25083,MedTech / BioTech / HealthTech
25084,Disaster Management
25085,Miscellaneous
25090,Clean & Green Technology
25091,Smart Automation
25092,MedTech / BioTech / HealthTech
25093,Smart Education
25094,Smart Education
25095,Smart Education
25096,Smart Education
25097,Smart Education
25098,Smart Education
25099,Agriculture, FoodTech & Rural Development
25100,Transportation & Logistics
25101,Smart Education
25102,Smart Automation
25103,Smart Automation
25104,Smart Education
25107,Heritage & Culture
25108,Miscellaneous
